Country,CountryCode,Lat,Long,Density,Population,Date,Count,DensityGroup
Afghanistan,A01,33,65,60,38742911,2020-06-13,24102,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-14,24766,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-15,25527,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-16,26310,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-17,26874,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-18,27532,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-19,27878,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-20,28424,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-21,28833,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-22,29157,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-23,29481,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-24,29640,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-25,30175,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-26,30451,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-27,30616,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-28,30967,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-29,31238,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-30,31517,<=100
Afghanistan,A01,33,65,60,38742911,2020-07-01,31836,<=100
Afghanistan,A01,33,65,60,38742911,2020-07-02,32022,<=100
Afghanistan,A01,33,65,60,38742911,2020-07-03,32324,<=100
Afghanistan,A01,33,65,60,38742911,2020-07-04,32672,<=100
Albania,A02,41.1533,20.1683,105,2878420,2020-01-22,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-23,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-24,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-25,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-26,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-27,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-28,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-29,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-30,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-01-31,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-01,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-02,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-03,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-04,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-05,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-06,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-07,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-08,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-09,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-10,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-11,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-12,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-13,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-14,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-15,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-16,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-17,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-18,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-19,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-20,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-21,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-22,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-23,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-24,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-25,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-26,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-27,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-28,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-02-29,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-01,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-02,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-03,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-04,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-05,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-06,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-07,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-08,0,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-09,2,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-10,10,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-11,12,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-12,23,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-13,33,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-14,38,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-15,42,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-16,51,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-17,55,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-18,59,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-19,64,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-20,70,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-21,76,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-22,89,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-23,104,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-24,123,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-25,146,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-26,174,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-27,186,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-28,197,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-29,212,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-30,223,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-03-31,243,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-01,259,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-02,277,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-03,304,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-04,333,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-05,361,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-06,377,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-07,383,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-08,400,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-09,409,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-10,416,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-11,433,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-12,446,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-13,467,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-14,475,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-15,494,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-16,518,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-17,539,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-18,548,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-19,562,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-20,584,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-21,609,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-22,634,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-23,663,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-24,678,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-25,712,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-26,726,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-27,736,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-28,750,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-29,766,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-04-30,773,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-01,782,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-02,789,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-03,795,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-04,803,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-05,820,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-06,832,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-07,842,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-08,850,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-09,856,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-10,868,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-11,872,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-12,876,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-13,880,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-14,898,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-15,916,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-16,933,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-17,946,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-18,948,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-19,949,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-20,964,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-21,969,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-22,981,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-23,989,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-24,998,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-25,1004,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-26,1029,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-27,1050,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-28,1076,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-29,1099,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-30,1122,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-05-31,1137,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-01,1143,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-02,1164,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-03,1184,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-04,1197,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-05,1212,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-06,1232,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-07,1246,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-08,1263,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-09,1299,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-10,1341,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-11,1385,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-12,1416,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-13,1464,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-14,1521,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-15,1590,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-16,1672,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-17,1722,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-18,1788,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-19,1838,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-20,1891,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-21,1962,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-22,1995,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-23,2047,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-24,2114,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-25,2192,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-26,2269,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-27,2330,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-28,2402,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-29,2466,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-06-30,2535,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-07-01,2580,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-07-02,2662,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-07-03,2752,>100<=500
Albania,A02,41.1533,20.1683,105,2878420,2020-07-04,2819,>100<=500
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-22,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-23,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-24,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-25,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-26,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-27,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-28,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-29,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-30,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-01-31,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-01,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-02,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-03,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-04,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-05,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-06,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-07,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-08,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-09,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-10,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-11,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-12,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-13,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-14,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-15,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-16,0,<=100
Algeria,A03,28.0339,1.6596,18,43685618,2020-02-17,0,<=100
