Country,CountryCode,Lat,Long,Density,Population,Date,Count
Albania,A02,41.1533,20.1683,105,2878420,24/01/2020,0
Algeria,A03,28.0339,1.6596,18,43685618,24/01/2020,0
Andorra,A04,42.5063,1.5218,164,77240,24/01/2020,0
Angola,A05,-11.2027,17.8739,26,32644783,24/01/2020,0
Antigua and Barbuda,A06,17.0608,-61.7964,223,97764,24/01/2020,0
Argentina,A07,-38.4161,-63.6167,17,45111229,24/01/2020,0
Armenia,A08,40.0691,45.0382,104,2962137,24/01/2020,0
Australia,A09,-35.4735,149.0124,3,25439164,24/01/2020,0
Austria,A10,47.5162,14.5501,109,8996022,24/01/2020,0
Azerbaijan,A11,40.1431,47.5769,123,10120555,24/01/2020,0
Bahamas,B01,25.0343,-77.3963,39,392477,24/01/2020,0
Bahrain,B02,26.0275,50.55,2239,1688629,24/01/2020,0
Bangladesh,B03,23.685,90.3563,1265,164354176,24/01/2020,0
Barbados,B04,13.1939,-59.5432,668,287305,24/01/2020,0
Belarus,B05,53.7098,27.9534,47,9449940,24/01/2020,0
Belgium,B06,50.8333,4,383,11579477,24/01/2020,0
Belize,B07,13.1939,-59.5432,17,396120,24/01/2020,0
Benin,B08,9.3077,2.3158,108,12055347,24/01/2020,0
Bhutan,B09,27.5142,90.4336,20,769867,24/01/2020,0
Bolivia,B10,-16.2902,-63.5887,11,11640159,24/01/2020,0
Bosnia and Herzegovina,B11,43.9159,17.6791,64,3284806,24/01/2020,0
Botswana,B12,-22.3285,24.6849,4,2341649,24/01/2020,0
Brazil,B13,-14.235,-51.9253,25,212253150,24/01/2020,0
Brunei,B14,4.5353,114.7277,83,436624,24/01/2020,0
Bulgaria,B15,42.7339,25.4858,64,6958627,24/01/2020,0
Burkina Faso,B16,12.2383,-1.5616,76,20780371,24/01/2020,0
Burundi,B17,-3.3731,29.9189,463,11814346,24/01/2020,0
Cabo Verde,C01,16.5388,-23.0418,138,554750,24/01/2020,0
Cambodia,C02,11.55,104.9167,95,16671185,24/01/2020,0
Cameroon,C03,3.848,11.5021,56,26405174,24/01/2020,0
Canada,C04,53.9333,-116.5765,4,37674770,24/01/2020,0
Central African Republic,C05,6.6111,20.9394,8,4812256,24/01/2020,0
Chad,C06,15.4542,18.7322,13,16324440,24/01/2020,0
Chile,C07,-35.6751,-71.543,26,19082804,24/01/2020,0
China,C08,31.8257,117.2264,153,1438207241,24/01/2020,920
Colombia,C09,4.5709,-74.2973,46,50771878,24/01/2020,0
Comoros,C10,-11.6455,43.3333,467,865696,24/01/2020,0
Costa Rica,C12,9.7489,-83.7534,100,5084636,24/01/2020,0
Cote d'Ivoire,C13,7.54,-5.5471,83,26239250,24/01/2020,0
Croatia,C14,45.1,15.2,73,4110214,24/01/2020,0
Cuba,C15,22,-80,106,11327988,24/01/2020,0
Cyprus,C16,35.1264,33.4299,131,1205577,24/01/2020,0
Czechia,C17,49.8175,15.473,139,10705012,24/01/2020,0
Denmark,D01,61.8926,-6.9118,137,5788108,24/01/2020,0
Djibouti,D02,11.8251,42.5903,43,985027,24/01/2020,0
Dominica,D03,15.415,-61.371,96,71950,24/01/2020,0
