Country,CountryCode,Lat,Long,Count,Density,Population,DensityGroup
Sri Lanka,S19,7.873054,80.771797,11,341,21395196,>100<=500
Sudan,S20,12.862807,30.217636,608,25,43632213,<=100
Suriname,S21,3.919305,-56.027783,14,4,585561,<=100
Sweden,S22,60.128161,18.643501,5420,25,10086531,<=100
Switzerland,S23,46.818188,8.227512,1965,219,8641786,>100<=500
Syria,S24,34.802075,38.996815,10,95,17410293,<=100
Taiwan,T01,23.69781,120.960515,7,673,23808164,>500<=1000
Tajikistan,T02,38.861034,71.276093,52,68,9492342,<=100
Tanzania,T03,-6.369028,34.888822,21,67,59368313,<=100
Thailand,T04,15.870032,100.992541,58,137,69764925,>100<=500
Timor-Leste,T05,-8.874217,125.727539,0,89,1313184,<=100
Togo,T06,8.619543,0.824782,15,152,8237580,>100<=500
Trinidad and Tobago,T07,10.691803,-61.222503,8,273,1398579,>100<=500
Tunisia,T08,33.886917,9.537499,50,76,11793319,<=100
Turkey,T09,38.963745,35.243322,5206,110,84153250,>100<=500
Uganda,U01,1.373333,32.290275,0,229,45427637,>100<=500
Ukraine,U02,48.379433,31.16558,1243,75,43785122,<=100
United Arab Emirates,U03,23.424076,53.847818,321,118,9865845,>100<=500
United Kingdom,U04,55.378051,-3.435973,44283,281,67814098,>100<=500
Uruguay,U05,-32.522779,-55.765835,28,20,3471314,<=100
US,U06,37.0902,-95.7129,129676,36,330610570,<=100
Uzbekistan,U07,41.377491,64.585262,31,79,33368859,<=100
Venezuela,V01,6.42375,-66.58973,62,32,28451828,<=100
Vietnam,V02,14.058324,108.277199,0,314,97160127,>100<=500
Western Sahara,W01,24.215527,-12.885834,1,2,594215,<=100
Yemen,Y01,15.552727,48.516388,337,56,29687214,<=100
Zambia,Z01,-13.133897,27.849332,30,25,18273379,<=100
Zimbabwe,Z02,-19.015438,29.154857,8,38,14818157,<=100
